,tide,missing day,flag for attention,timestamp,ID,Location,Latitude,Longitude,GLOSS ID,Country,Date,Coastline,Station,Flag
385261,6903.0,0.0,000,1865-01-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385262,6802.0,0.0,000,1865-02-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385263,6649.0,0.0,000,1865-03-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385264,6827.0,0.0,000,1865-04-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385265,6903.0,0.0,000,1865-05-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385266,7056.0,0.0,000,1865-06-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385267,7030.0,0.0,000,1865-07-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385268,7056.0,0.0,000,1865-08-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385269,6954.0,0.0,000,1865-09-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385270,6903.0,0.0,000,1865-10-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385271,6954.0,0.0,000,1865-11-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385272,7081.0,0.0,000,1865-12-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385273,7411.0,0.0,000,1866-01-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385274,7107.0,0.0,000,1866-02-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385275,6700.0,0.0,000,1866-03-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385276,6878.0,0.0,000,1866-04-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385277,6853.0,0.0,000,1866-05-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385278,7030.0,0.0,000,1866-06-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385279,7183.0,0.0,000,1866-07-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385280,7234.0,0.0,000,1866-08-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385281,7005.0,0.0,000,1866-09-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385282,7005.0,0.0,000,1866-10-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385283,7386.0,0.0,000,1866-11-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385284,7284.0,0.0,000,1866-12-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385285,6980.0,0.0,000,1867-01-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
385286,7030.0,0.0,000,1867-02-01,26,LIEPAJA,56.533,20.983,,LVA,30/03/2016,83,151,N
