name,latitude,longitude,country,trend,uncertainty,pValue,_id
BREST,48.382850,-4.494838,FRANCE,1.7830,0.6680,0.0076,1
SWINOUJSCIE,53.916667,14.233333,POLAND,1.1100,0.7680,0.1484,2
CUXHAVEN 2,53.866667,8.716667,GERMANY,2.0360,0.5130,0.0001,7
WISMAR 2,53.898889,11.458056,GERMANY,1.6120,0.3590,0.0000,8
MAASSLUIS,51.917500,4.249722,NETHERLANDS,1.9510,0.5060,0.0001,9
SAN FRANCISCO,37.806667,-122.465000,UNITED STATES,1.5540,0.6840,0.0231,10
WARNEMUNDE 2,54.169722,12.103333,GERMANY,1.8410,0.3690,0.0000,11
NEW YORK ( THE BATTERY),40.700000,-74.013333,UNITED STATES,3.3040,0.4400,0.0000,12
TRAVEMUNDE,53.958056,10.872222,GERMANY,1.6050,0.3090,0.0000,13
HELSINKI,60.153633,24.956217,FINLAND,-1.1690,0.7120,0.1006,14
VLISSINGEN,51.442222,3.596111,NETHERLANDS,1.9240,1.2020,0.1095,20
HOEK VAN HOLLAND,51.977500,4.120000,NETHERLANDS,2.9050,0.4040,0.0000,22
DEN HELDER,52.964444,4.745000,NETHERLANDS,1.8300,0.4060,0.0000,23
DELFZIJL,53.326389,6.933056,NETHERLANDS,2.0250,0.5430,0.0002,24
HARLINGEN,53.175556,5.409444,NETHERLANDS,1.4120,0.4220,0.0008,25
IJMUIDEN,52.462222,4.554722,NETHERLANDS,1.8430,1.0550,0.0807,32
OSCARSBORG,59.678073,10.604861,NORWAY,-2.4740,0.5880,0.0000,33
POTI,42.166667,41.683333,GEORGIA,8.8090,0.9060,0.0000,41
KABELVAG,68.212639,14.482149,NORWAY,-0.6570,0.7280,0.3668,45
STAVANGER,58.974339,5.730121,NORWAY,0.8510,0.3820,0.0259,47
VAASA / VASA,63.081533,21.571183,FINLAND,-6.3970,0.6910,0.0000,57
BERGEN,60.398046,5.320487,NORWAY,0.8550,0.5570,0.1248,58
MARSEILLE,43.278801,5.353860,FRANCE,1.3930,0.4800,0.0037,61
OSLO,59.908559,10.734510,NORWAY,-2.4910,1.0300,0.0156,62
GDANSK/NOWY PORT,54.400000,18.683333,POLAND,2.8380,0.8740,0.0012,64
LANDSORT,58.742222,17.865278,SWEDEN,-2.1560,0.7060,0.0023,68
OLANDS NORRA UDDE,57.366111,17.097222,SWEDEN,-0.6510,0.5670,0.2509,69
KUNGSHOLMSFORT,56.105278,15.589444,SWEDEN,0.6520,0.4850,0.1788,70
HANKO / HANGO,59.822867,22.976583,FINLAND,-1.4340,0.7080,0.0428,71
AARHUS,56.147222,10.223889,DENMARK,1.2860,0.3430,0.0002,76
STOCKHOLM,59.324167,18.081667,SWEDEN,-3.0490,0.6040,0.0000,78
OULU / ULEABORG,65.040317,25.418233,FINLAND,-6.2370,0.7780,0.0000,79
ESBJERG,55.460833,8.441111,DENMARK,2.1260,0.5150,0.0000,80
FREDERICIA,55.560833,9.754444,DENMARK,1.5990,0.2910,0.0000,81
KOBENHAVN,55.705000,12.600000,DENMARK,1.5700,0.4200,0.0002,82
RATAN,63.986111,20.895000,SWEDEN,-7.3730,0.7110,0.0000,88
HIRTSHALS,57.595556,9.963889,DENMARK,0.4960,0.4450,0.2650,89
FREDERIKSHAVN,57.436389,10.548889,DENMARK,-0.0230,0.3860,0.9525,91
NORTH SHIELDS,55.007444,-1.439778,UNITED KINGDOM,1.7990,0.4420,0.0000,95
HALIFAX,44.666667,-63.583333,CANADA,2.9340,0.4310,0.0000,96
SLIPSHAVN,55.288333,10.827778,DENMARK,1.7130,0.3300,0.0000,98
FREMANTLE,-32.065556,115.748139,AUSTRALIA,1.8120,0.6410,0.0047,111
FERNANDINA BEACH,30.671667,-81.465000,UNITED STATES,2.3770,0.3160,0.0000,112
KORSOR,55.332222,11.142222,DENMARK,1.3800,0.3460,0.0001,113
KLAIPEDA,55.700000,21.133333,LITHUANIA,3.7810,0.7890,0.0000,118
HORNBAEK,56.091111,12.458333,DENMARK,1.5020,0.5150,0.0035,119
GEDSER,54.572778,11.925556,DENMARK,1.5570,0.3470,0.0000,120
TROIS-RIVIERES,46.333333,-72.550000,CANADA,-1.2150,4.4980,0.7871,126
SEATTLE,47.601667,-122.338333,UNITED STATES,1.6800,0.4090,0.0000,127
ABURATSUBO,35.160278,139.615278,JAPAN,4.1130,0.4150,0.0000,130
AYUKAWA,38.296667,141.505278,JAPAN,5.3870,0.3400,0.0000,131
WAJIMA,37.405833,136.900278,JAPAN,1.0300,0.5600,0.0659,132
HOSOJIMA,32.428611,131.669444,JAPAN,0.6330,0.6730,0.3469,133
KUSHIMOTO,33.475833,135.773333,JAPAN,4.0720,0.7300,0.0000,134
PHILADELPHIA (PIER 9N),39.933333,-75.141667,UNITED STATES,4.1470,0.5680,0.0000,135
BATISCAN,46.500000,-72.250000,CANADA,-0.7560,3.0940,0.8070,144
BALTIMORE,39.266667,-76.578333,UNITED STATES,3.3250,0.4350,0.0000,148
AUCKLAND II,-36.843070,174.769460,NEW ZEALAND,0.8950,0.6260,0.1528,150
TRIESTE,45.647361,13.758472,ITALY,1.2720,0.4300,0.0031,154
HONOLULU,21.306667,-157.866667,UNITED STATES,1.0760,0.3960,0.0066,155
SAN DIEGO (QUARANTINE STATION),32.713333,-117.173333,UNITED STATES,2.0110,0.3510,0.0000,158
"GALVESTON II, PIER 21, TX",29.310000,-94.793333,UNITED STATES,6.4200,0.5450,0.0000,161
BALBOA,8.966667,-79.566667,PANAMA,1.7440,0.5080,0.0006,163
TOFINO,49.150000,-125.916667,CANADA,-1.3450,0.4240,0.0015,165
VICTORIA,48.416667,-123.366667,CANADA,0.5050,0.4190,0.2281,166
PRINCE RUPERT,54.316667,-130.333333,CANADA,1.4100,0.4430,0.0015,167
VENEZIA (PUNTA DELLA SALUTE),45.433333,12.333333,ITALY,0.6750,0.8430,0.4233,168
MANTYLUOTO,61.594383,21.463433,FINLAND,-4.9550,0.6980,0.0000,172
QUEBEC (LAUZON),46.833333,-71.166667,CANADA,-0.6230,0.8020,0.4373,173
KO LAK,11.800000,99.816667,THAILAND,1.9440,1.2020,0.1058,174
SMOGEN,58.353611,11.217778,SWEDEN,-0.8920,0.4830,0.0648,179
ATLANTIC CITY,39.355000,-74.418333,UNITED STATES,4.5750,0.4410,0.0000,180
PORTLAND  (MAINE),43.656667,-70.246667,UNITED STATES,1.5890,0.5250,0.0025,183
KEY WEST,24.555000,-81.806667,UNITED STATES,2.5810,0.3310,0.0000,188
PORT HEDLAND,-20.317583,118.574417,AUSTRALIA,2.4910,1.0480,0.0175,189
NEUVILLE,46.700000,-71.566667,CANADA,0.1020,1.3050,0.9377,192
POINT ATKINSON,49.333333,-123.250000,CANADA,0.2800,0.3540,0.4290,193
PIETARSAARI  /  JAKOBSTAD,63.708567,22.689583,FINLAND,-6.0490,0.7560,0.0000,194
"SYDNEY, FORT DENISON 2",-33.854667,151.225778,AUSTRALIA,1.0040,0.3830,0.0088,196
DESCHAILLONS,46.566667,-72.100000,CANADA,0.2470,2.4870,0.9209,201
NEWLYN,50.103000,-5.542833,UNITED KINGDOM,1.9400,0.3080,0.0000,202
FURUOGRUND,64.915833,21.230556,SWEDEN,-6.6940,0.7520,0.0000,203
TUAPSE,44.100000,39.066667,RUSSIAN FEDERATION,2.9790,0.7100,0.0000,215
PORT PIRIE,-33.177644,138.011650,AUSTRALIA,1.4820,0.8600,0.0848,216
WELLINGTON HARBOUR,-41.284340,174.779800,NEW ZEALAND,2.6630,0.3660,0.0000,221
LEWES (BREAKWATER HARBOR),38.781667,-75.120000,UNITED STATES,3.6960,0.4660,0.0000,224
KETCHIKAN,55.331667,-131.625000,UNITED STATES,-0.5270,0.4000,0.1877,225
KEMI,65.673367,24.515250,FINLAND,-6.4470,0.7560,0.0000,229
PORT LINCOLN,-34.715903,135.870011,AUSTRALIA,1.9670,0.4200,0.0000,230
CHARLESTON I,32.781667,-79.925000,UNITED STATES,2.9730,0.4850,0.0000,234
BOSTON,42.353333,-71.053333,UNITED STATES,2.8930,0.5570,0.0000,235
WEST-TERSCHELLING,53.363056,5.220000,NETHERLANDS,2.1300,0.5400,0.0001,236
TURKU / ABO,60.428283,22.100533,FINLAND,-2.9590,0.7150,0.0000,239
RAAHE / BRAHESTAD,64.666333,24.407050,FINLAND,-6.6070,0.7760,0.0000,240
LOS ANGELES,33.720000,-118.271667,UNITED STATES,1.1780,0.3510,0.0008,245
