,tide,missing day,flag for attention,timestamp,ID,Location,Latitude,Longitude,GLOSS ID,Country,Date,Coastline,Station,Flag
196851,6980.0,0.0,000,1956-05-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196852,6840.0,0.0,000,1956-06-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196853,6890.0,0.0,000,1956-07-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196854,6830.0,0.0,000,1956-08-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196855,6830.0,0.0,000,1956-09-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196856,6980.0,0.0,000,1956-10-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196857,7040.0,0.0,000,1956-11-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196858,7140.0,0.0,000,1956-12-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196859,7150.0,0.0,000,1957-01-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196860,7050.0,0.0,000,1957-02-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196861,7010.0,0.0,000,1957-03-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196862,6940.0,0.0,000,1957-04-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196863,6980.0,0.0,000,1957-05-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196864,6940.0,0.0,000,1957-06-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196865,6950.0,0.0,000,1957-07-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196866,6880.0,0.0,000,1957-08-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196867,6890.0,0.0,000,1957-09-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196868,7100.0,0.0,000,1957-10-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196869,7000.0,0.0,000,1957-11-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196870,7060.0,0.0,000,1957-12-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196871,7020.0,0.0,000,1958-01-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196872,6840.0,0.0,000,1958-02-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196873,6840.0,0.0,000,1958-03-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196874,6860.0,0.0,000,1958-04-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196875,6790.0,0.0,000,1958-05-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196876,6860.0,0.0,000,1958-06-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196877,6900.0,0.0,000,1958-07-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196878,6980.0,0.0,000,1958-08-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196879,7030.0,0.0,000,1958-09-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196880,7060.0,0.0,000,1958-10-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196881,7110.0,0.0,000,1958-11-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196882,7080.0,0.0,000,1958-12-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196883,6910.0,0.0,000,1959-01-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196884,7030.0,0.0,000,1959-02-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196885,7090.0,0.0,000,1959-03-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196886,6940.0,0.0,000,1959-04-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
196887,6890.0,0.0,000,1959-05-01,638,Reykjavik,64.15100000000001,-21.94,229.0,ISL,14/06/2016,10,1,N
